time,"[AWD] Датчик давления (bar)","[AWD] Заданная степень сцепления муфты (%)","[AWD] Заданный крутящий момент (N⋅m)","[AWD] Индикатор неисправности ()","[AWD] Кнопка Lock ()","[AWD] Напряжение питания (V)","[AWD] Напряжение сети (V)","[AWD] Обороты двигателя (rpm)","[AWD] Относительное положение педали акселератора (%)","[AWD] Скорость автомобиля (km/h)","[AWD] Скорость заднего левого колеса (km/h)","[AWD] Скорость заднего правого колеса (km/h)","[AWD] Скорость переднего левого колеса (km/h)","[AWD] Скорость переднего правого колеса (km/h)","[AWD] Тепловыделение (℃)","[AWD] Угол поворота руля (°)","[ECM] Время впрыска Цилиндр # 1 (ms)","[ECM] Время впрыска Цилиндр # 2 (ms)","[ECM] Время впрыска Цилиндр # 3 (ms)","[ECM] Время впрыска Цилиндр # 4 (ms)","[ECM] Датчик кислорода 1 Блок 1 (V)","[ECM] Датчик кислорода 2 Блок 1 (V)","[ECM] Обороты двигателя (ХХ) (rpm)","[ECM] Скорость автомобиля (km/h)","[ECM] Температура всасываемого воздуха (℃)","[ECM] Температура масла в CVVT (℃)","[ECM] Температура охлаждающей жидкости (℃)","[TCM] Заданная передача ()","[TCM] Обороты двигателя (rpm)","[TCM] Относительное положение педали акселератора (%)","[TCM] Педаль тормоза ()","[TCM] Проскальзывание гидротрансформатора (rpm)","[TCM] Селектор D ()","[TCM] Селектор M ()","[TCM] Селектор N ()","[TCM] Селектор P ()","[TCM] Селектор R ()","[TCM] Скорость автомобиля (km/h)","[TCM] Скорость выходного вала (rpm)","[TCM] Скорость турбины гидротрансформатора (rpm)","[TCM] Текущая передача ()","[TCM] Температура АКПП (℃)","[TCM] Управление блокировкой гидротрансформатора ()","[TCM] Reverse ()","Атмосферное давление (абсолютное) (kPa)","Давление во впускном коллекторе (абсолютное) (kPa)","Датчик кислорода 2 Блок 1 Напряжение (V)","Долговременная коррекция - Блок 1 (%)","Использовано топлива (L)","Использовано топлива (Неделя) (L)","Использовано топлива (общий) (L)","Использовано топлива (Сегодня) (L)","Кратковременная коррекция - Блок 1 (%)","Мгновенный расход топлива (л/100 км) (L/100km)","Мгновенный расход топлива (л/ч) (L/h)","Моментальная мощность двигателя (от расхода топлива) (hp)","Напряжение (ELM327) (V)","Обороты двигателя (rpm)","Обороты двигателя x1000 (rpm)","Положение дроссельной заслонки (%)","Положение педали акселератора D (%)","Пройденный путь (km)","Пройденный путь (Неделя) (km)","Пройденный путь (общий) (km)","Пройденный путь (Сегодня) (km)","Расчетное значение нагрузки на двигатель (%)","Расчетный наддув (bar)","Скорость автомобиля (km/h)","Соотношение топливо/воздух ()","Средний расход топлива (л/100 км) (L/100km)","Средний расход топлива (л/100 км) (Неделя) (L/100km)","Средний расход топлива (л/100 км) (общий) (L/100km)","Средний расход топлива (л/100 км) (Сегодня) (L/100km)","Средний расход топлива (л/100 км) 10 sec (L/100km)","Средняя скорость (km/h)","Стоимость топлива ($)","Стоимость топлива (Неделя) ($)","Стоимость топлива (общий) ($)","Стоимость топлива (Сегодня) ($)","Температура всасываемого воздуха (℃)","Температура катализатора Датчик 1 Блок 1 (℃)","Температура окружающего воздуха (℃)","Температура охлаждающей жидкости (℃)","Угол опережения зажигания (°)","Ускорение (g)","Экономайзер топлива (на основе состояния топливной системы и положения дроссельной заслонки) ()",
09:24:03.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,
09:24:03.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,0,,,,,0,,2.239379586843541,8.76089612140975,,1248,1.2,,,,,,,41.96078431372549,-0.56,0,,,,,,,,,,,,,,,,,,,
09:24:03.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,0.425,,,,,,,,,,,,,16.470588235294116,,,,,,,,,,,,,,,,,,,,8,,,,4.5,,,
09:24:03.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.509803921568627,,,,,,,,14.63156736,,,,,,,,,,,,96.5,7,,,,,
09:24:03.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:03.490,,,,,,,,,,,,,,,,,,,,,,,1240,,8.25,9,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:03.569,,,,,,,,,,,,,,,,,4.096,4.096,4.096,4.096,-0.2,0.43041,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:03.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1233,0,0,122.75,0,0,0,1,0,0,0,1110.25,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0,,
09:24:03.945,1.75,0,0,0,0,14.3,14.3,1243,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:04.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,0,0.000667282483286271,0.0272,0.0272,0.0272,0,,2.3372934716109444,9.143954615972529,,1245,1.2,,,,,,,42.35294117647059,-0.55,0,,,,,,,,0.0006739553081191337,0.027472,0.027472,0.027472,,,,,,,,
09:24:04.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,0.42,,,,,,,,,,,,,16.470588235294116,,,,,,,,,,,,,,,,,,,,8,,,,4,,,
09:24:04.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.901960784313726,,,,,,,,14.63156736,,,,,,,,,,,,103.19999999999999,7,,,,,
09:24:04.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:04.549,,,,,,,,,,,,,,,,,,,,,,,1240,,8.25,9,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:04.667,,,,,,,,,,,,,,,,,4.096,4.096,4.096,4.096,-0.2,0.43041,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:04.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1253,0,0,125,0,0,0,1,0,0,0,1128,0,10,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,0,,,,,,,,,,-0,,
09:24:05.060,1.75,0,0,0,0,14.200000000000001,14.3,1237,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:05.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
09:24:05.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,0,0.001448133398036101,0.027981,0.027981,0.027981,0,,2.3260294066875176,9.099887364811211,,1239,1.2,,,,,,,42.745098039215684,-0.55,0,,,,,,,,0.0014626147320164619,0.02826081,0.02826081,0.02826081,,,,,,,,
09:24:05.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,0.425,,,,,,,,,,,,,16.470588235294116,,,,,,,,,,,,,,,,,,,,8,,,,4,,,
09:24:05.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.901960784313726,,,,,,,,14.63156736,,,,,,,,,,,,111.19999999999999,7,,,,,
09:24:05.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:05.786,,,,,,,,,,,,,,,,,,,,,,,1240,,8.25,9.75,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:05.865,,,,,,,,,,,,,,,,,4.096,4.096,4.096,4.096,-0.2,0.43041,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:05.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1244,0,0,118.25,0,0,0,1,0,0,0,1125.75,0,10,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,0,,,,,,,,,,-0,,
09:24:06.166,1.75,0,0,0,0,14.3,14.3,1242,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:06.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,0,0.002054872414710708,0.028588,0.028588,0.028588,0,,2.309133309302378,9.033786488069245,,1230,1.2,,,,,,,42.745098039215684,-0.55,0,,,,,,,,0.0020754211388578155,0.028873879999999998,0.028873879999999998,0.028873879999999998,,,,,,,,
09:24:06.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,0.425,,,,,,,,,,,,,16.470588235294116,,,,,,,,,,,,,,,,,,,,8,,,,4,,,
09:24:06.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.509803921568627,,,,,,,,14.63156736,,,,,,,,,,,,118,7,,,,,
09:24:06.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:06.637,,,,,,,,,,,,,,,,,,,,,,,1230,,8.25,9.75,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:06.728,,,,,,,,,,,,,,,,,4.096,4.096,4.096,4.096,-0.2,0.43041,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:06.873,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1243,0,0,120.25,0,0,0,1,0,0,0,1122.75,0,10,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,0,,,,,,,,,,-0,,
09:24:07.052,1.75,0,0,0,0,14.3,14.4,1237,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:07.160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
09:24:07.240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,0,0.002657756965345078,0.029191,0.029191,0.029191,0,,2.27886113482067,8.915355750573212,,1245,1.2,,,,,,,41.96078431372549,-0.56,0,,,,,,,,0.002684334534998529,0.02948291,0.02948291,0.02948291,,,,,,,,
09:24:07.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,0.425,,,,,,,,,,,,,16.470588235294116,,,,,,,,,,,,,,,,,,,,8,,,,4,,,
09:24:07.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.901960784313726,,,,,,,,14.63156736,,,,,,,,,,,,123.4,7,,,,,
09:24:07.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:07.599,,,,,,,,,,,,,,,,,,,,,,,1230,,8.25,9.75,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:07.679,,,,,,,,,,,,,,,,,4.096,4.096,4.096,4.096,-0.2,0.42519999999999997,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:07.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1241,0,0,123.5,0,0,0,1,0,0,0,1117.5,0,10,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,0,,,,,,,,,,0,,
09:24:07.980,1.75,0,0,0,0,14.200000000000001,14.3,1241,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:08.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,0,0.003215809145709522,0.029749,0.029749,0.029749,0,,2.314765341764091,9.055820113649899,,1233,1.2,,,,,,,42.745098039215684,-0.55,0,,,,,,,,0.0032479672371666175,0.030046490000000002,0.030046490000000002,0.030046490000000002,,,,,,,,
09:24:08.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,0.425,,,,,,,,,,,,,16.470588235294116,,,,,,,,,,,,,,,,,,,,9,,,,3,,,
09:24:08.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.901960784313726,,,,,,,,14.63156736,,,,,,,,,,,,130.2,7,,,,,
09:24:08.330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:08.453,,,,,,,,,,,,,,,,,,,,,,,1230,,9,9.75,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:08.542,,,,,,,,,,,,,,,,,4.096,4.096,4.096,4.096,-0.2,0.43041,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:08.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1240,0,0,125.5,0,0,0,1,0,0,0,1114.5,0,10,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,0,,,,,,,,,,0,,
09:24:08.879,1.75,0,0,0,0,14.200000000000001,14.3,1240,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:08.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,
09:24:09.030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,0,0.003801851960273767,0.030335,0.030335,0.030335,0,,2.3046906274254977,9.0164058373513,,1232,1.2,,,,,,,42.745098039215684,-0.55,0,,,,,,,,0.003839870479876505,0.03063835,0.03063835,0.03063835,,,,,,,,
09:24:09.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,0.425,,,,,,,,,,,,,16.470588235294116,,,,,,,,,,,,,,,,,,,,9,,,,3.5,,,
09:24:09.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.509803921568627,,,,,,,,14.63156736,,,,,,,,,,,,135.7,7,,,,,
09:24:09.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:09.352,,,,,,,,,,,,,,,,,,,,,,,1230,,9,9.75,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:09.442,,,,,,,,,,,,,,,,,4.096,4.096,4.096,4.096,-0.2,0.43041,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:09.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1225,0,0,119.75,0,0,0,1,0,0,0,1105.25,0,10,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,0,,,,,,,,,,0,,
09:24:09.749,1.75,0,0,0,0,14.3,14.3,1234,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:09.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,0,0.004347822403892497,0.030881,0.030881,0.030881,0,,2.3584729777002402,9.22681303526027,,1230,1.2,,,,,,,42.745098039215684,-0.54,0,,,,,,,,0.004391300627931422,0.03118981,0.03118981,0.03118981,,,,,,,,
09:24:09.930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,0.42,,,,,,,,,,,,,16.470588235294116,,,,,,,,,,,,,,,,,,,,9,,,,3.5,,,
09:24:10.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.509803921568627,,,,,,,,14.63156736,,,,,,,,,,,,141,7,,,,,
09:24:10.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:10.209,,,,,,,,,,,,,,,,,,,,,,,1220,,9,9.75,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:10.298,,,,,,,,,,,,,,,,,4.096,4.096,4.096,4.096,-0.2,0.43041,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:10.430,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1225,0,0,123.75,0,0,0,1,0,0,0,1101.25,0,10,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,0,,,,,,,,,,0,,
09:24:10.574,1.75,0,0,0,0,14.3,14.4,1215,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:10.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,
09:24:10.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,0,0.004924373082656116,0.031458,0.031458,0.031458,0,,2.3412158583512137,9.159299769148607,,1221,1.2,,,,,,,43.13725490196079,-0.54,0,,,,,,,,0.004973616813482677,0.03177258,0.03177258,0.03177258,,,,,,,,
09:24:10.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,0.42,,,,,,,,,,,,,16.470588235294116,,,,,,,,,,,,,,,,,,,,9,,,,3.5,,,
09:24:10.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.509803921568627,,,,,,,,14.63156736,,,,,,,,,,,,147.8,7,,,,,
09:24:10.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:11.124,,,,,,,,,,,,,,,,,,,,,,,1220,,9,9.75,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:11.212,,,,,,,,,,,,,,,,,4.096,4.096,4.096,4.096,-0.2,0.43041,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:11.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1228,0,0,123.5,0,0,0,1,0,0,0,1104.5,0,10,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,0,,,,,,,,,,0,,
09:24:11.505,1.75,0,0,0,0,14.3,14.3,1233,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:11.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,0,0.005516217076193115,0.03205,0.03205,0.03205,0,,2.375730097049266,9.294326301371925,,1239,1.2,,,,,,,43.13725490196079,-0.54,0,,,,,,,,0.005571379246955046,0.0323705,0.0323705,0.0323705,,,,,,,,
09:24:11.730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,0.42,,,,,,,,,,,,,16.470588235294116,,,,,,,,,,,,,,,,,,,,9,,,,2,,,
09:24:11.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.901960784313726,,,,,,,,14.63156736,,,,,,,,,,,,153.2,7,,,,,
09:24:11.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:11.977,,,,,,,,,,,,,,,,,,,,,,,1220,,9,9.75,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:12.067,,,,,,,,,,,,,,,,,4.096,4.096,4.096,4.096,-0.2,0.42519999999999997,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:12.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1241,0,0,117.5,0,0,0,1,0,0,0,1123.5,0,10,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,0,,,,,,,,,,0,,
09:24:12.399,1.75,0,0,0,0,14.3,14.3,1243,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:12.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,
09:24:12.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,0,0.0060957180542639145,0.03263,0.03263,0.03263,0,,2.306561317869836,9.023724348582915,,1233,1.2,,,,,,,42.745098039215684,-0.55,0,,,,,,,,0.006156675234806554,0.0329563,0.0329563,0.0329563,,,,,,,,
09:24:12.650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,0.425,,,,,,,,,,,,,16.470588235294116,,,,,,,,,,,,,,,,,,,,9,,,,3.5,,,
09:24:12.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.901960784313726,,,,,,,,14.63156736,,,,,,,,,,,,160,7,,,,,
09:24:12.770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:12.909,,,,,,,,,,,,,,,,,,,,,,,1220,,9,9.75,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:12.997,,,,,,,,,,,,,,,,,4.096,4.096,4.096,4.096,-0.2,0.42519999999999997,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:13.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1246,0,0,119.25,0,0,0,1,0,0,0,1126.75,0,11,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,0,,,,,,,,,,0,,
09:24:13.415,1.75,0,0,0,0,14.3,14.4,1229,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:13.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,0,0.006711320224036288,0.033246,0.033246,0.033246,0,,2.2728888898717368,8.891991146413822,,1215,1.2,,,,,,,41.96078431372549,-0.55,0,,,,,,,,0.006778433426276651,0.03357846,0.03357846,0.03357846,,,,,,,,
09:24:13.591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,0.425,,,,,,,,,,,,,16.470588235294116,,,,,,,,,,,,,,,,,,,,9,,,,3.5,,,
09:24:13.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.509803921568627,,,,,,,,14.63156736,,,,,,,,,,,,166.5,7,,,,,
09:24:13.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:13.840,,,,,,,,,,,,,,,,,,,,,,,1220,,9,9.75,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:13.931,,,,,,,,,,,,,,,,,4.096,4.096,4.096,4.096,-0.2,0.42519999999999997,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:14.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1234,0,0,118.5,0,0,0,1,0,0,0,1115.5,0,11,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,0,,,,,,,,,,0,,
09:24:14.237,1.75,0,0,0,0,14.3,14.3,1231,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:24:14.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,
09:24:14.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,0,0.007279810597456185,0.033814,0.033814,0.033814,0,,2.3140440796471915,9.05299839350938,,1237,1.2,,,,,,,42.35294117647059,-0.55,0,,,,,,,,0.007352608703430747,0.03415214,0.03415214,0.03415214,,,,,,,,
