time,"[AWD] Датчик давления (bar)","[AWD] Заданная степень сцепления муфты (%)","[AWD] Заданный крутящий момент (N⋅m)","[AWD] Индикатор неисправности ()","[AWD] Кнопка Lock ()","[AWD] Напряжение питания (V)","[AWD] Напряжение сети (V)","[AWD] Обороты двигателя (rpm)","[AWD] Относительное положение педали акселератора (%)","[AWD] Скорость автомобиля (km/h)","[AWD] Скорость заднего левого колеса (km/h)","[AWD] Скорость заднего правого колеса (km/h)","[AWD] Скорость переднего левого колеса (km/h)","[AWD] Скорость переднего правого колеса (km/h)","[AWD] Тепловыделение (℃)","[AWD] Угол поворота руля (°)","[ECM] Обороты двигателя (ХХ) (rpm)","[ECM] Температура всасываемого воздуха (℃)","[ECM] Температура масла в CVVT (℃)","[ECM] Температура охлаждающей жидкости (℃)","[TCM] Заданная передача ()","[TCM] Обороты двигателя (rpm)","[TCM] Относительное положение педали акселератора (%)","[TCM] Педаль тормоза ()","[TCM] Проскальзывание гидротрансформатора (rpm)","[TCM] Селектор D ()","[TCM] Селектор M ()","[TCM] Селектор N ()","[TCM] Селектор P ()","[TCM] Селектор R ()","[TCM] Скорость автомобиля (km/h)","[TCM] Скорость выходного вала (rpm)","[TCM] Скорость турбины гидротрансформатора (rpm)","[TCM] Текущая передача ()","[TCM] Температура АКПП (℃)","[TCM] Управление блокировкой гидротрансформатора ()","[TCM] Reverse ()","Атмосферное давление (абсолютное) (kPa)","Высота (GPS) (m)","Давление во впускном коллекторе (абсолютное) (kPa)","Датчик кислорода 1 (широкополосный) Коррекция соотношения топливовоздушной смеси ()","Датчик кислорода 1 (широкополосный) Ток (мА) (mA)","Датчик кислорода 2 Блок 1 Напряжение (V)","Долговременная коррекция - Блок 1 (%)","Использовано топлива (L)","Использовано топлива (Неделя) (L)","Использовано топлива (общий) (L)","Использовано топлива (Сегодня) (L)","Кратковременная коррекция - Блок 1 (%)","Мгновенный расход топлива (л/100 км) (L/100km)","Мгновенный расход топлива (л/ч) (L/h)","Моментальная мощность двигателя (от расхода топлива) (hp)","Напряжение (ELM327) (V)","Обороты двигателя (rpm)","Обороты двигателя x1000 (rpm)","Положение дроссельной заслонки (%)","Положение педали акселератора D (%)","Пройденный путь (km)","Пройденный путь (Неделя) (km)","Пройденный путь (общий) (km)","Пройденный путь (Сегодня) (km)","Расчетное значение нагрузки на двигатель (%)","Расчетный наддув (bar)","Скорость (GPS) (km/h)","Скорость автомобиля (km/h)","Соотношение топливо/воздух ()","Средний расход топлива (л/100 км) (L/100km)","Средний расход топлива (л/100 км) (Неделя) (L/100km)","Средний расход топлива (л/100 км) (общий) (L/100km)","Средний расход топлива (л/100 км) (Сегодня) (L/100km)","Средний расход топлива (л/100 км) 10 sec (L/100km)","Средняя скорость (km/h)","Средняя скорость (GPS) (km/h)","Стоимость топлива ($)","Стоимость топлива (Неделя) ($)","Стоимость топлива (общий) ($)","Стоимость топлива (Сегодня) ($)","Температура всасываемого воздуха (℃)","Температура катализатора Датчик 1 Блок 1 (℃)","Температура окружающего воздуха (℃)","Температура охлаждающей жидкости (℃)","Угол опережения зажигания (°)","Ускорение (g)",Latitude,Longtitude,
00:21:48.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.131218372505515,71.40349080334154,
00:21:48.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.39696685,-0.08984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.131218372505515,71.40349080334154,
00:21:48.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.8,,,,,51.131218372505515,71.40349080334154,
00:21:48.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.4134184917743,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,51.130999101456915,71.4028586056009,
00:21:48.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63156736,,,,,,,,,,,,,,,,,,51.130999101456915,71.4028586056009,
00:21:48.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,51.130999101456915,71.4028586056009,
00:21:49.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.509803921568627,,,,,,,,,,,,,,,,,,,,,,,,,,,51.130999101456915,71.4028586056009,
00:21:49.209,,,,,,,,,,,,,,,,,660,63.75,93.75,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.130999101456915,71.4028586056009,
00:21:49.356,,,,,,,,,,,,,,,,,,,,,0,670,0,0,34.75,0,0,0,1,0,0,0,635.25,0,82,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.130999101456915,71.4028586056009,
00:21:49.564,1.75,0,0,0,0,14.100000000000001,14.100000000000001,667,0,0,0,0,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.130999101456915,71.4028586056009,
00:21:49.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.130999101456915,71.4028586056009,
00:21:49.756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.549019607843135,,,,,,,,,,,,,,,,,,,,,,51.130999101456915,71.4028586056009,
00:21:49.840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.130999101456915,71.4028586056009,
00:21:49.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.4134184917743,,,,,,,,,,,,,,,,,,,,,,,,,0.8922214329242707,,,,,,,,,0.20056268872090113,,,,,,,,,,,51.13094446222242,71.40325105742443,
00:21:49.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.13094446222242,71.40325105742443,
00:21:50.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,-0.66,,,,,,,,,,,,,,,,,,,,,51.13094446222242,71.40325105742443,
00:21:50.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.13094446222242,71.40325105742443,
00:21:50.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004112695621955997,0.001289,36.09302999999999,0.000411,,,0.7378735828276448,2.8867074826725565,,668,0.7,,,,,,,,,,,,,,,,,,,0.0004153822578175557,0.00130189,36.45396029999999,0.00041511,,,,,,,51.13094446222242,71.40325105742443,
00:21:50.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,51.13094446222242,71.40325105742443,
00:21:50.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,422.177235,0,,,,0,,,,,,,0,,,,,,,,,,,,51.13094446222242,71.40325105742443,
00:21:50.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5,,51.13094446222242,71.40325105742443,
00:21:50.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,51.13094446222242,71.40325105742443,
00:21:50.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.941176470588236,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.13094446222242,71.40325105742443,
00:21:50.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.13094446222242,71.40325105742443,
00:21:50.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.8204691742681,,,,,,,,,,,,,,,,,,,,,,,,,0.8782468557357789,,,,,,,,,0.3244996172617649,,,,,,,,,,,51.1309570624932,71.40327266751069,
00:21:50.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1309570624932,71.40327266751069,
00:21:50.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.267842049999999,-0.12890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1309570624932,71.40327266751069,
00:21:51.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428,,,,,51.1309570624932,71.40327266751069,
00:21:51.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63156736,,,,,,,,,,,,,,,,,,51.1309570624932,71.40327266751069,
00:21:51.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,51.1309570624932,71.40327266751069,
00:21:51.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.509803921568627,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1309570624932,71.40327266751069,
00:21:51.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.6850412839299,,,,,,,,,,,,,,,,,,,,,,,,,0.57348992228508,,,,,,,,,0.34884847360653903,,,,,,,,,,,51.1309849071108,71.40332075813346,
00:21:51.461,,,,,,,,,,,,,,,,,660,63.75,93.75,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1309849071108,71.40332075813346,
00:21:51.606,,,,,,,,,,,,,,,,,,,,,0,670,0,0,25.25,0,0,0,1,0,0,0,644.75,0,82,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1309849071108,71.40332075813346,
00:21:51.816,1.75,0,0,0,0,14.200000000000001,14.200000000000001,661,0,0,0,0,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1309849071108,71.40332075813346,
00:21:51.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1309849071108,71.40332075813346,
00:21:51.980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.372549019607842,,,,,,,,,,,,,,,,,,,,,,51.1309849071108,71.40332075813346,
00:21:52.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,51.1309849071108,71.40332075813346,
00:21:52.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1309849071108,71.40332075813346,
00:21:52.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1309849071108,71.40332075813346,
00:21:52.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,-0.67,,,,,,,,,,,,,,,,,,,,,51.1309849071108,71.40332075813346,
00:21:52.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000837290541039109,0.001715,36.09345599999999,0.000837,,,0.7208104468737179,2.819953117992225,,669,0.7,,,,,,,,,,,,,,8.549361028431575,,,,,0.0008456634464495001,0.00173215,36.45439055999999,0.00084537,,,,,,,51.1309849071108,71.40332075813346,
00:21:52.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,422.177235,0,,,,0,,,,,,,0,,,,,,,,,,,,51.1309849071108,71.40332075813346,
00:21:52.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5,,51.1309849071108,71.40332075813346,
00:21:52.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.80939108756377,,,,,,,,,,,,,,,,,,,,,,,,,0.6219212293624878,,,,,,,,,0.38719371727785196,,,,,,,,,,,51.1309943928933,71.40334120623888,
00:21:52.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,51.1309943928933,71.40334120623888,
00:21:52.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.941176470588236,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1309943928933,71.40334120623888,
00:21:52.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1309943928933,71.40334120623888,
00:21:52.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1309943928933,71.40334120623888,
00:21:52.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.18175885,-0.15234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1309943928933,71.40334120623888,
00:21:52.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.5,,,,,51.1309943928933,71.40334120623888,
00:21:52.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63156736,,,,,,,,,,,,,,,,,,51.1309943928933,71.40334120623888,
00:21:52.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,51.1309943928933,71.40334120623888,
